nan,nan,nan,nan,nan,nan,nan,nan,1.992031872509958390e-03,7.569721115537842056e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.992031872509958390e-03,1.354581673306771636e-02,1.992031872509958390e-02,nan,3.107569721115534950e-02,1.394422310756970873e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.533864541832663797e-02,nan,nan,6.852589641434256307e-02,1.832669322709161788e-02,nan
-2.404809619238479444e-03,nan,nan,nan,2.805611222444892756e-03,3.206412825651305636e-03,nan,nan,nan,nan,-1.603206412825652818e-03,nan,nan,1.643286573146294366e-02,nan,nan,nan,nan,nan,-1.202404809619239722e-03,nan,nan,6.412825651302611271e-03,nan,nan,3.607214428857718948e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.923847695390783555e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.474226804123702463e-03,nan,-5.773195876288638936e-03,nan,nan,nan,nan,nan,nan,nan,3.711340206185576029e-03,nan,0.000000000000000000e+00,nan,nan,nan,nan,3.711340206185553912e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.360824742268022365e-03,nan,-3.298969072164947836e-02,4.536082474226832591e-03,nan,-2.680412371134017688e-02,-2.268041237113398514e-02,nan
nan,nan,nan,nan,-2.027833001988077477e-02,-1.988071570576610374e-03,nan,nan,-2.385685884691901570e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.538767395626241097e-02,nan,3.896620278330013842e-02,nan,nan,nan,nan,4.731610337972162739e-02,nan,nan,-2.783300198807192767e-03,-7.793240556660045726e-02,-8.349900596421488963e-03,nan,nan,-4.890656063618294830e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.008016032064132261e-03,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,4.008016032064132261e-03,nan,8.817635270541090281e-03,-2.004008016032066131e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404809619238479444e-03,nan,-1.643286573146294366e-02,nan,nan,4.969939879759523865e-02,-1.563126252505011443e-02,nan,3.927855711422849339e-02,nan,nan
nan,-9.504950495049513393e-03,nan,nan,-2.772277227722774740e-03,nan,nan,nan,nan,-1.029702970297030618e-02,nan,nan,1.900990099009901013e-01,nan,nan,nan,nan,nan,nan,nan,-1.108910891089109896e-02,nan,nan,nan,nan,nan,nan,nan,nan,-3.722772277227726079e-02,nan,nan,nan,nan,nan,nan,-3.801980198019805357e-02,nan,nan,nan,nan,-5.148514851485153088e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.524752475247527883e-02,nan,nan,-3.089108910891091853e-02,nan,nan
nan,nan,nan,2.747474747474746432e-02,nan,nan,nan,nan,nan,nan,nan,nan,2.181818181818181296e-02,nan,nan,nan,nan,nan,nan,-9.292929292929297258e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.545454545454545192e-02,2.868686868686869465e-02,-1.183838383838383412e-01,nan,nan,2.505050505050505569e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.303030303030302248e-02,nan,nan,nan,nan,nan,nan,-1.733333333333333393e-01,nan,nan,-1.826262626262626365e-01,nan,nan
nan,nan,nan,nan,6.262230919765188197e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.784735812133061456e-03,nan,nan,nan,-1.565557729941269294e-03,nan,nan,nan,nan,nan,nan,nan,-7.827788649706412388e-03,nan,nan,nan,-5.088062622309185920e-03,nan,nan,1.174168297455979726e-03,nan,nan,nan,nan,-4.070450097847355675e-02,nan,nan,nan,nan,nan,-2.818003913894322546e-02,-3.913894324852895679e-04,nan,nan,nan,nan,nan,nan,7.827788649706679319e-04,nan,nan,nan,nan
nan,-3.898635477582845896e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.027290448343079671e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.259259259259259411e-01,nan,nan,nan,nan,nan,nan,nan,-7.563352826510724713e-02,-1.949317738791422894e-03,nan,nan,-3.742690058479532927e-02,nan,nan,-9.746588693957114469e-03,nan,-2.066276803118908406e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.091617933723196786e-02,nan,1.247563352826510687e-02,nan,nan
nan,-2.788844621513941833e-03,nan,nan,nan,-1.274900398406373335e-02,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.513944223107568411e-02,3.745019920318733153e-02,nan,nan,-3.864541832669319416e-02,2.111553784860562694e-02,nan,nan,nan,nan,nan,nan,-8.844621513944214697e-02,-3.346613545816730373e-02,nan,nan,-1.394422310756970873e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
