-8.72E-03,-2.12E-02,nan,nan,nan,nan,-1.40E-02,nan,nan,nan,nan,nan,nan,nan,nan,-1.53E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.74E-03,nan,-2.59E-02,nan,nan,nan,nan,nan,-1.68E-02,nan,nan,2.22E-17,5.30E-03,-9.97E-03,nan
nan,nan,nan,nan,1.70E-02,nan,6.50E-03,nan,nan,nan,nan,nan,nan,nan,nan,-1.55E-03,nan,nan,nan,-4.02E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.55E-03,4.33E-03,nan,nan,-6.50E-03,nan,nan,nan,nan,1.95E-02,nan,5.88E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.48E-03
nan,nan,nan,nan,-2.73E-02,nan,nan,nan,nan,nan,-4.95E-02,-4.41E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.32E-02,nan,nan,-1.45E-02,-3.70E-02,nan,nan,nan,-2.15E-02,nan,nan,nan,nan,nan,-3.15E-02,-3.54E-02,nan,nan,nan,nan,nan,nan,-3.38E-02,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,-4.44E-17,nan,nan,nan,-3.12E-03,nan,nan,nan,-3.43E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.43E-02,nan,nan,-1.78E-02,nan,nan,-2.12E-02,nan,-4.09E-02,nan,nan,nan,-4.15E-02,nan,nan,nan,nan,nan,nan,nan,nan,-2.22E-17,-9.98E-03,nan,nan
-2.17E-03,nan,nan,nan,nan,3.25E-02,nan,nan,nan,nan,nan,3.31E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.83E-02,nan,nan,nan,nan,1.61E-02,nan,nan,nan,8.36E-03,nan,2.26E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.83E-02,nan,3.16E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.64E-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.01E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.28E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.62E-02,nan,nan,nan,-4.98E-02,nan,nan,nan,nan,-3.25E-02,nan,nan,nan,nan,-6.21E-02,-2.04E-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.18E-04,-7.85E-02,nan,-3.96E-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.29E-02,nan,nan,nan,nan,nan,nan,nan,nan,6.02E-02,nan,nan,nan,nan,nan,nan,nan,nan,-6.30E-04,nan,7.46E-02,-2.52E-03,nan,nan,nan,nan,-1.54E-02,nan,nan,-9.13E-03,nan,-2.96E-02,nan,nan,nan,nan,nan,nan,nan,5.20E-02,nan,nan,-6.93E-03,nan,nan
6.13E-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.37E-03,nan,nan,nan,nan,-7.67E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.17E-02,nan,3.07E-03,nan,nan,nan,nan,nan,nan,-1.07E-02,nan,-2.45E-03,nan,nan,nan,nan,-2.33E-02,nan,nan,nan,nan,nan,nan,nan,-3.07E-04,nan,nan,nan,-4.29E-03
nan,-3.92E-02,nan,-5.05E-02,nan,-1.16E-02,nan,nan,nan,nan,-7.35E-03,nan,nan,nan,nan,-2.14E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.18E-02,nan,nan,nan,nan,nan,1.01E-02,nan,nan,nan,nan,-2.63E-02,nan,nan,nan,nan,nan,nan,nan,-5.18E-02,nan,-8.88E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,1.74E-02,nan,nan,nan,5.15E-02,nan,nan,nan,nan,5.43E-02,nan,nan,nan,nan,4.40E-02,nan,nan,9.30E-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.44E-02,nan,nan,nan,nan,nan,3.13E-02,nan,nan,nan,nan,nan,nan,nan,-3.10E-03,nan,nan,nan,nan,nan,-5.27E-03,nan,7.26E-02,nan,nan,nan
