nan,6.091370558375630920e-03,nan,nan,1.692047377326555326e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.692047377326567556e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.060913705583768692e-03,nan,-4.771573604060915658e-02,-1.015228426395931114e-03,nan,1.522842639593907643e-02,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,-9.170896785109983185e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.353637901861248858e-03,nan,nan
1.858823529411764430e-01,nan,nan,nan,nan,8.235294117647058709e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.319327731092436784e-01,nan,nan,nan,nan,-4.974789915966393306e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.689075630252101778e-02,nan,nan,nan,2.403361344537814637e-01,nan,2.447058823529411065e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.210084033613445520e-02,nan,nan,nan,nan,nan,2.181512605042016106e-01,nan,1.868907563025209717e-01,nan,nan,nan
-1.961471103327492443e-02,nan,nan,nan,-4.763572679509631147e-02,nan,-4.448336252189140361e-02,nan,nan,nan,nan,nan,nan,nan,5.499124343257442982e-02,-1.509632224168125925e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.199649737302974362e-02,nan,nan,0.000000000000000000e+00,nan,-3.152364273204903700e-02,nan,nan,nan,nan,nan,nan,nan,-4.168126094570927254e-02,nan,-9.492119089316988778e-02,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-1.669505962521295947e-02,nan,-1.362862010221466092e-03,nan,nan,nan,nan,3.407155025553665231e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.792163543441230730e-03,nan,nan,nan,nan,nan,nan,nan,1.328790459965929413e-02,nan,1.362862010221466092e-03,nan,nan,-1.362862010221466092e-03,nan,nan,nan,nan,-7.836456558773430628e-03,nan,nan,3.032367972742762083e-02,0.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,6.496598639455779256e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.238095238095237527e-02,nan,nan,nan,nan,nan,nan,nan,nan,-5.952380952380953438e-02,nan,nan,nan,nan,2.142857142857138714e-02,nan,1.554421768707482665e-01,nan,nan,nan,nan,-3.435374149659866511e-02,nan,7.857142857142854209e-02,nan,2.122448979591836371e-01,nan,nan,nan,nan,nan,nan,nan,4.149659863945577565e-02,nan,nan,nan,nan,nan,1.717687074829931659e-01,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.702702702702701812e-02,nan,nan,nan,nan,nan,nan,nan,1.013513513513508799e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.378378378378355147e-03,1.250000000000000069e-02,1.993243243243241272e-02,-3.074324324324326924e-02,nan,-1.351351351351359666e-03,nan,nan,nan,nan,0.000000000000000000e+00,nan,1.047297297297293886e-02,nan,nan,nan,nan,2.702702702702675097e-03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,-4.074702886247849772e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.130730050933742521e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.056027164685848514e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.395585738539708023e-04,nan,nan,-5.772495755517792308e-03,nan,nan,nan,nan,nan,nan,nan,-1.358234295415949779e-03,nan,-1.086587436332762079e-02,nan,nan,nan,1.792869269949066702e-01,nan,-1.358234295415949779e-03,1.222410865874368202e-02,nan,nan
-6.666666666666598139e-04,nan,nan,nan,nan,2.566666666666667096e-02,nan,nan,nan,nan,nan,nan,nan,nan,7.400000000000002409e-02,nan,nan,nan,nan,3.600000000000001810e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.799999999999997088e-02,nan,nan,nan,nan,nan,-5.466666666666665508e-02,nan,nan,-3.133333333333333803e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.100000000000000824e-02,nan,nan,nan,-6.533333333333332660e-02,nan,-3.333333333333188481e-04
3.005008347245396918e-03,nan,nan,nan,nan,1.161936560934891116e-01,nan,1.068447412353921121e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.013355592654414911e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.475792988313854526e-02,nan,nan,nan,nan,nan,nan,-2.704507512520870627e-02,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,3.939899833055090367e-02,nan,nan,nan,nan,nan,nan,6.310517529215357857e-02,nan,2.938230383973287202e-02,nan,nan
nan,nan,nan,nan,nan,nan,6.780238500851794303e-02,nan,nan,nan,nan,8.211243611584331803e-02,4.054514480408862032e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.809199318568995296e-01,1.199318568994889589e-01,1.175468483816014126e-01,nan,nan,nan,nan,nan,nan,nan,nan,3.781942078364568249e-02,nan,nan,nan,nan,2.882453151618399323e-01,nan,1.890971039182283153e-01,nan,7.155025553662697040e-03,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.360544217687098588e-03,nan,nan,nan,nan,3.741496598639426630e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.190476190476187288e-02,nan,nan,nan,nan,3.775510204081631432e-02,nan,nan,nan,nan,nan,nan,nan,9.217687074829929161e-02,nan,nan,5.782312925170061957e-02,-4.761904761904789223e-03,nan,nan,nan,5.306122448979588846e-02,3.231292517006800757e-02,0.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.429967426710097744e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.469055374592829311e-02,nan,nan,nan,nan,-4.527687296416933738e-02,nan,nan,nan,-8.078175895765467296e-02,nan,1.074918566775244499e-01,nan,nan,nan,9.218241042345279301e-02,nan,nan,nan,5.700325732899025333e-02,0.000000000000000000e+00,nan,-1.052117263843648232e-01,nan,-2.736156351791527858e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.182724252491691802e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.318936877076373984e-03,nan,nan,nan,nan,nan,nan,nan,-1.461794019933552145e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.953488372093023229e-01,nan,nan,nan,nan,-4.883720930232556684e-02,nan,nan,-1.960132890365445801e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.328903654485036247e-03,nan,nan,nan,nan,nan,nan,nan,nan,-7.973421926910297108e-02,nan,-1.328903654485036247e-03,-9.767441860465113368e-02,nan,nan
nan,nan,nan,nan,nan,nan,1.581548599670506983e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,1.515650741350903566e-02,-5.403624382207581484e-02,nan,-9.225700164744688250e-03,nan,nan,nan,1.812191103789122584e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.976935749588104672e-03,-2.602965403624386484e-02,nan,-3.426688632619445674e-02,nan,nan,nan,nan,nan,nan,-4.612850082372377085e-03
nan,nan,nan,nan,nan,-2.655172413793098832e-02,nan,nan,-2.931034482758616486e-02,nan,nan,nan,-1.379310344827522350e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.379310344827544468e-03,nan,nan,-1.068965517241371455e-02,nan,nan,nan,1.724137931034497263e-03,nan,nan,nan,nan,nan,nan,nan,-1.724137931034479612e-02,nan,-1.758620689655165936e-02,nan,nan,nan,nan,-2.551724137931028411e-02,nan,nan,nan,nan,nan,nan,nan,nan,-3.068965517241373231e-02,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.333333333333326279e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.944444444444419773e-04,nan,nan,nan,nan,nan,2.732638888888888618e-01,nan,nan,nan,nan,1.378472222222222043e-01,nan,9.722222222222210233e-03,nan,0.000000000000000000e+00,6.250000000000000347e-03,nan,nan,nan,nan,nan,nan,nan,3.125000000000000173e-03,2.218749999999999889e-01,nan,nan,5.590277777777778734e-02,nan,nan
nan,nan,nan,nan,-1.250420168067226945e-01,nan,nan,nan,nan,nan,nan,nan,-1.247058823529411387e-01,nan,nan,-6.184873949579831887e-02,nan,nan,nan,nan,-6.386554621848739011e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.689075630252091374e-03,-1.341176470588235081e-01,nan,nan,nan,-1.287394957983193089e-01,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,-3.462184873949577385e-02,nan,0.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.324324324324328728e-02,nan,nan,nan,1.891891891891894772e-02,nan,nan,nan,nan,nan,-2.702702702702675097e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.425675675675676546e-02,nan,nan,nan,nan,nan,nan,nan,1.891891891891892691e-02,9.121621621621667231e-03,nan,nan,nan,nan,3.547297297297300617e-02,nan,nan,3.378378378378381341e-02,2.837837837837842159e-02,nan,nan,nan,nan,6.418918918918947898e-03,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,-6.288659793814430077e-02,nan,nan,nan,nan,nan,nan,nan,-1.089347079037800425e-01,nan,nan,nan,nan,nan,-1.484536082474226526e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.951890034364260340e-01,nan,nan,nan,nan,-1.302405498281786755e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.869415807560134479e-02,-2.013745704467354014e-01,nan,nan,nan,2.405498281786988546e-03,nan,nan,-1.192439862542955115e-01,0.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,-3.953098827470687138e-02,-1.045226130653266472e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.708542713567838892e-02,nan,nan,nan,nan,nan,-7.537688442211053219e-02,-3.517587939698492427e-02,nan,-1.383584589614740012e-01,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,-1.353433835845896105e-01,nan,nan,nan,nan,nan,nan,-1.708542713567838545e-01,-1.571189279731993182e-01,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.016806722689046087e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.310924369747897777e-02,nan,nan,nan,nan,2.151260504201681772e-02,nan,nan,nan,nan,nan,4.033613445378181513e-03,nan,5.042016806722671163e-03,nan,nan,nan,nan,nan,nan,nan,nan,-6.050420168067238876e-03,-3.361344537815114217e-04,1.344537815126050154e-02,nan,nan,nan,nan,nan,nan,1.344537815126054490e-02,nan,nan,nan,1.075630252100840886e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.208333333333347789e-03,nan,nan,2.083333333333303814e-03,2.951388888888888465e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.513888888888905812e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.027777777777790807e-03,nan,nan,2.777777777777790027e-03,nan,nan,nan,nan,nan,nan,-2.083333333333348050e-03,nan,2.076388888888888729e-01,nan,nan,7.048611111111109662e-02,nan,1.121527777777777402e-01
nan,nan,nan,nan,-5.733788395904435703e-02,nan,nan,nan,-1.150170648464163836e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.430034129692832612e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.416382252559726940e-01,nan,nan,-3.890784982935154013e-02,nan,nan,-7.576791808873718781e-02,nan,nan,-1.607508532423208292e-01,nan,nan,nan,-1.419795221843003774e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.337883959044369520e-02,nan,-7.883959044368601954e-02,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.940397350993377790e-01,1.390728476821191315e-02,-1.711920529801324586e-01,nan,nan,nan,nan,nan,-1.311258278145695788e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.503311258278145768e-01,nan,nan,nan,-3.145695364238412089e-02,nan,nan,nan,-2.142384105960264962e-01,-1.274834437086092565e-01,-1.364238410596026740e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan
-2.838063439065110355e-02,nan,nan,nan,-5.475792988313856607e-02,nan,nan,nan,nan,nan,nan,-5.008347245409011661e-02,nan,nan,nan,nan,nan,nan,nan,nan,-6.911519198664438368e-02,nan,nan,nan,nan,nan,nan,nan,nan,-3.639398998330548723e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.679465776293821488e-02,nan,-1.058430717863105136e-01,-8.046744574290483343e-02,nan,nan,nan,nan,-3.939899833055088285e-02,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan
