NONE,UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,MICVIF,LS,MCFS,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
1.0,0.0,0.0,0.9655172413793104,1.0,0.0,0.9425287356321839,0.9770114942528736,0.9195402298850575,0.0,0.0,0.0,0.0,0.8620689655172413,0.9080459770114943,0.0,0.0,1.0,0.0,0.9878048780487805,0.12195121951219512,0.0,0.7439024390243902,0.0,0.9512195121951219,0.0
0.0,0.92,1.0,0.0,0.9733333333333334,0.9866666666666667,0.7866666666666666,0.9066666666666666,0.0,0.7866666666666666,0.4266666666666667,0.4266666666666667,0.0,0.0,0.9733333333333334,0.0,0.96,0.0,0.9878048780487805,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.9878048780487805,0.012195121951219513,0.012195121951219513
0.011111111111111112,0.0,1.0,0.9222222222222223,0.9888888888888889,0.9666666666666667,0.6222222222222222,0.9,0.8777777777777778,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.8888888888888888,0.7555555555555555,0.9,0.0,0.9888888888888889,0.0,0.0,0.6805555555555556,0.0,0.7777777777777778,0.0,0.0,0.0
0.9850746268656716,0.0,0.746268656716418,0.0,0.0,0.8656716417910447,0.0,1.0,0.8507462686567164,0.0,0.014925373134328358,0.8805970149253731,0.9253731343283582,0.9104477611940298,0.9701492537313433,1.0,0.0,0.9850746268656716,0.0,0.0,0.0,0.9736842105263158,0.8026315789473685,0.9868421052631579,0.9342105263157895,0.0
0.0,0.0,0.0,0.7941176470588235,0.8823529411764706,0.0,0.0,0.0,0.9264705882352942,0.0,0.8676470588235294,0.9264705882352942,0.0,0.0,0.0,0.8676470588235294,0.9558823529411765,0.0,1.0,0.15384615384615385,0.0,1.0,0.9487179487179487,1.0,0.0,0.8076923076923077
0.0,0.0,0.9240506329113924,0.0,0.9873417721518988,0.9620253164556962,0.9240506329113924,0.8987341772151899,0.8734177215189873,0.0,0.0,0.0,0.8860759493670886,0.9493670886075949,0.9240506329113924,0.0,0.0,0.9873417721518988,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.9634146341463414,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513
0.9875,0.6375,0.85,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.2125,0.0,0.8125,0.825,0.0,0.8625,0.0,0.975,0.0,0.0,0.012987012987012988,0.8571428571428571,0.7922077922077922,0.0,0.0,0.1038961038961039
0.0,0.0,0.0,0.0,0.0,0.7317073170731707,0.8048780487804879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746835443037974,0.9746835443037974,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746835443037974,0.0,0.16455696202531644,0.0,0.0,0.9746835443037974,0.0,0.9746835443037974
0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.8717948717948718,0.9358974358974359,0.0,0.9230769230769231,0.038461538461538464,0.3076923076923077,0.5384615384615384,0.0,0.8974358974358975,0.01282051282051282,0.0,0.0,0.9753086419753086,0.9753086419753086,0.0,0.0,0.7654320987654321,0.9876543209876543,0.9629629629629629,0.0
