NONE,UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,MICVIF,LS,MCFS,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
0.0,0.0,0.90625,1.0,1.0,0.0,0.96875,0.9375,1.0,0.0,0.96875,0.96875,0.9375,0.96875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.8518518518518519,0.8518518518518519,0.8518518518518519,1.0,0.9259259259259259,0.0
0.0,0.0,0.0,0.0,0.9090909090909091,0.030303030303030304,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.8484848484848485,0.9393939393939394,0.0,0.0,0.9696969696969697,0.9090909090909091,0.96875,0.9375,0.84375,0.90625,0.96875,0.96875,0.9375,0.875
0.9545454545454546,0.8181818181818182,1.0,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,1.0,1.0,1.0,0.9090909090909091,1.0,0.0,0.9696969696969697,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.9090909090909091
0.0,0.0,0.0,0.8823529411764706,1.0,0.0,1.0,0.0,0.8823529411764706,0.0,0.0,0.9411764705882353,0.9117647058823529,0.9705882352941176,0.0,0.0,0.0,0.0,0.96,0.96,0.8,0.84,0.0,1.0,1.0,0.0
1.0,1.0,0.9629629629629629,1.0,0.9629629629629629,0.9629629629629629,0.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9259259259259259,1.0,0.9629629629629629,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
0.9655172413793104,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.8275862068965517,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9117647058823529,0.8823529411764706,0.9411764705882353,0.9705882352941176,0.0
0.0,0.2413793103448276,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6206896551724138,1.0,1.0,1.0,0.9655172413793104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7619047619047619,1.0,0.0,0.9047619047619048,1.0,1.0,0.9411764705882353,0.0,0.0,0.0,1.0,0.9705882352941176,0.0,0.0
0.0,0.875,0.0,0.875,1.0,0.0,0.0,0.0,1.0,0.0,0.3125,0.28125,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,1.0,0.0,0.9354838709677419,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
