NONE,UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,MICVIF,LS,MCFS,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
0.6428571428571429,0.38095238095238093,0.0,0.7380952380952381,0.6190476190476191,0.6666666666666666,0.7142857142857143,0.6428571428571429,0.6190476190476191,0.8095238095238095,0.0,0.5714285714285714,0.8095238095238095,0.8333333333333334,0.6904761904761905,0.7857142857142857,0.6428571428571429,0.6666666666666666,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.6578947368421053,0.8157894736842105,0.0,0.7368421052631579,0.631578947368421
0.5121951219512195,0.6585365853658537,0.8292682926829268,0.8048780487804879,0.0,0.7073170731707317,0.43902439024390244,0.6341463414634146,0.8048780487804879,0.4878048780487805,0.7804878048780488,0.7073170731707317,0.6829268292682927,0.7317073170731707,0.6585365853658537,0.6097560975609756,0.4146341463414634,0.4878048780487805,0.696969696969697,0.7272727272727273,0.42424242424242425,0.7575757575757576,0.9090909090909091,0.48484848484848486,0.6363636363636364,0.6363636363636364
0.7096774193548387,0.6129032258064516,0.6774193548387096,0.7741935483870968,0.6774193548387096,0.6451612903225806,0.7741935483870968,0.6774193548387096,0.7096774193548387,0.5806451612903226,0.3225806451612903,1.0,0.7419354838709677,0.8064516129032258,0.7741935483870968,0.7096774193548387,0.7419354838709677,0.7096774193548387,0.8461538461538461,0.8717948717948718,0.5897435897435898,0.8717948717948718,0.8717948717948718,0.38461538461538464,0.48717948717948717,0.5128205128205128
0.7352941176470589,0.8529411764705882,0.6470588235294118,0.7647058823529411,0.0,0.5588235294117647,0.8529411764705882,0.7941176470588235,0.7058823529411765,0.6470588235294118,0.7352941176470589,0.7352941176470589,0.8823529411764706,0.7941176470588235,0.0,0.7647058823529411,0.7352941176470589,0.5588235294117647,0.7727272727272727,0.7954545454545454,0.4772727272727273,0.6363636363636364,0.7272727272727273,0.6818181818181818,0.8181818181818182,0.45454545454545453
0.68,0.72,0.66,0.72,0.7,0.68,0.42,0.52,0.7,0.62,0.74,0.44,0.7,0.8,0.54,0.56,0.94,0.68,0.8604651162790697,0.7906976744186046,0.37209302325581395,0.5813953488372093,0.8604651162790697,0.37209302325581395,0.627906976744186,0.6744186046511628
0.6818181818181818,0.7045454545454546,0.0,0.6590909090909091,0.0,0.5681818181818182,0.3181818181818182,0.9318181818181818,0.6363636363636364,0.5227272727272727,0.5681818181818182,0.75,0.6136363636363636,0.7954545454545454,0.75,0.6590909090909091,0.6590909090909091,0.7954545454545454,0.75,0.725,0.425,0.425,0.3,0.475,0.725,0.575
0.75,0.7954545454545454,0.5909090909090909,0.75,0.0,0.7045454545454546,0.5454545454545454,0.8863636363636364,0.7727272727272727,0.5681818181818182,0.5909090909090909,0.5909090909090909,0.8863636363636364,0.7954545454545454,0.6363636363636364,0.6136363636363636,0.8181818181818182,0.8181818181818182,0.7714285714285715,0.7142857142857143,0.6285714285714286,0.7714285714285715,0.5428571428571428,0.7428571428571429,0.5714285714285714,0.37142857142857144
0.6578947368421053,0.6052631578947368,0.6052631578947368,0.7894736842105263,0.6578947368421053,0.6052631578947368,0.8157894736842105,0.34210526315789475,0.7631578947368421,0.4473684210526316,0.4473684210526316,0.3157894736842105,0.5263157894736842,0.7894736842105263,0.8421052631578947,0.6052631578947368,0.5,0.631578947368421,0.76,0.84,0.52,0.54,0.88,0.7,0.7,0.62
0.39215686274509803,0.7058823529411765,0.6078431372549019,0.7647058823529411,0.6862745098039216,0.5882352941176471,0.7254901960784313,0.6862745098039216,0.6862745098039216,0.7254901960784313,0.5882352941176471,0.5882352941176471,0.6862745098039216,0.9019607843137255,0.8627450980392157,0.5686274509803921,0.7647058823529411,0.6862745098039216,0.8536585365853658,0.8536585365853658,0.6585365853658537,0.6585365853658537,0.7073170731707317,0.5121951219512195,0.4146341463414634,0.5121951219512195
0.7380952380952381,0.7380952380952381,0.6904761904761905,0.7380952380952381,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.6904761904761905,0.6666666666666666,0.6666666666666666,0.7380952380952381,0.8809523809523809,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.6666666666666666,0.7777777777777778,0.75,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.8333333333333334,0.75,0.5555555555555556
0.7142857142857143,0.7346938775510204,0.6326530612244898,0.8163265306122449,0.0,0.7755102040816326,0.6326530612244898,0.8163265306122449,0.3673469387755102,0.7959183673469388,0.7959183673469388,0.5306122448979592,0.5102040816326531,0.8775510204081632,0.7755102040816326,0.8367346938775511,0.6938775510204082,0.9183673469387755,0.75,0.7692307692307693,0.7307692307692307,0.5576923076923077,0.5961538461538461,0.4807692307692308,0.8846153846153846,0.7692307692307693
0.775,0.775,0.55,0.625,0.65,0.675,0.725,0.675,0.65,0.45,0.7,0.7,0.725,0.775,0.625,0.85,0.35,0.55,0.8214285714285714,0.8571428571428571,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.75,0.5714285714285714,0.6785714285714286
0.5625,0.84375,1.0,0.875,0.65625,0.71875,0.53125,0.625,0.6875,0.8125,0.625,0.625,0.875,0.8125,0.6875,0.90625,0.40625,0.65625,0.7567567567567568,0.7567567567567568,0.5135135135135135,0.4594594594594595,0.5405405405405406,0.5675675675675675,0.43243243243243246,0.5135135135135135
