63,60,45,7,42,40,62,54,5,20
13,6,7,39,60,62,63,35,45,5
40,6,60,62,39,63,20,48,50,11
54,62,42,6,35,63,40,45,51,11
42,39,11,62,12,63,60,40,61,35
20,5,54,39,48,61,62,63,40,60
51,37,35,58,60,62,63,49,38,39
54,62,35,6,60,40,39,11,20,63
51,64,39,63,48,60,11,45,61,40
51,40,63,62,48,60,13,11,59,20
39,11,61,6,54,12,60,62,63,16
54,40,62,61,39,45,60,63,42,11
62,63,60,39,40,5,45,51,54,12
54,51,6,60,40,39,5,42,63,45
51,63,60,42,62,35,5,65,45,61
6,16,62,42,63,40,20,60,12,48
58,42,60,49,63,45,20,62,65,40
54,62,13,39,63,60,5,48,11,12
51,7,40,39,11,20,60,5,12,1
62,63,5,60,51,54,40,42,45,12
62,63,60,40,54,5,51,42,39,12
51,48,63,12,5,60,54,62,40,39
7,40,20,57,63,44,39,42,62,60
62,63,5,60,42,39,40,20,54,51
62,63,60,40,12,39,5,51,45,54
40,45,60,64,58,5,63,65,11,41
51,40,63,11,6,60,62,48,20,39
39,5,42,60,63,11,35,40,65,7
5,54,64,63,39,20,60,11,62,40
51,40,42,35,6,64,5,61,48,9
62,63,60,5,12,39,40,51,54,45
62,61,64,56,55,20,48,6,35,63
51,40,13,9,62,60,42,5,11,48
51,6,63,12,20,42,62,48,60,39
62,63,60,40,11,51,39,54,20,5
62,63,5,60,39,40,51,54,45,20
51,6,40,20,54,62,39,64,5,42
62,60,63,39,5,40,51,54,20,45
62,63,5,39,40,51,54,60,11,45
40,63,5,20,62,48,6,60,54,58
54,42,63,37,62,60,5,10,58,20
62,63,60,5,54,51,40,12,20,39
51,63,6,11,5,35,42,62,60,40
51,5,39,45,16,6,63,62,64,42
40,35,42,65,61,63,60,5,64,57
54,7,5,37,38,61,60,62,16,40
62,60,63,40,5,42,51,54,39,45
63,54,20,60,40,39,62,5,42,61
62,60,20,12,64,39,63,5,51,16
62,63,40,60,51,39,11,5,54,12
51,40,63,20,12,39,60,42,57,62
5,40,51,54,20,60,63,58,59,62
63,6,61,65,11,45,42,55,56,60
54,63,35,6,40,11,62,1,9,60
54,5,63,62,20,60,48,65,45,40
62,63,60,51,54,40,5,12,39,11
54,57,5,45,39,62,63,48,60,6
63,11,61,48,62,60,12,20,40,5
51,35,40,63,60,20,62,12,11,5
62,51,12,60,39,11,20,63,5,45
64,63,40,5,12,16,65,39,13,42
12,40,62,63,13,35,1,60,5,39
51,62,12,58,35,63,60,11,40,20
51,5,11,63,54,62,39,64,20,45
62,63,60,40,5,51,54,39,20,42
62,54,5,6,13,63,60,55,56,11
45,48,39,5,40,63,35,62,60,12
40,5,39,20,12,63,58,11,60,61
51,11,54,35,5,20,61,63,6,60
12,16,62,39,54,40,11,57,63,5
62,51,40,5,11,54,35,60,63,42
62,35,39,40,45,42,6,63,48,64
62,63,60,39,40,42,5,20,51,11
62,63,45,12,42,35,51,60,5,40
62,63,40,60,42,39,51,20,54,11
62,63,39,40,11,5,60,12,51,54
54,51,12,63,35,60,6,16,20,5
45,60,58,16,63,5,35,62,40,56
5,54,63,48,61,62,60,11,20,51
51,61,11,54,35,5,60,63,45,23
62,63,60,40,39,42,5,45,51,54
16,6,20,42,39,60,62,35,13,63
62,63,60,40,54,51,5,39,11,42
42,6,62,40,60,54,39,20,11,48
62,63,60,5,40,39,51,42,54,11
20,7,51,63,61,11,60,40,39,5
6,40,48,63,60,62,16,42,12,45
6,39,42,63,5,60,61,48,62,30
54,42,35,7,63,60,12,11,16,61
51,54,12,62,63,45,37,60,61,64
62,63,39,40,5,51,60,11,45,42
62,1,42,6,54,12,45,11,61,7
62,63,40,39,60,5,11,42,51,54
54,11,6,20,63,5,60,7,39,12
51,62,5,60,49,63,7,40,42,39
62,63,60,40,39,54,51,42,45,5
9,16,62,63,11,35,40,60,64,5
51,57,40,6,61,63,48,64,58,56
60,45,7,62,21,40,38,43,1,12
62,40,11,54,35,6,63,5,12,60
