45,41,44,43,55,56,12,33,65,4
54,48,35,51,22,4,43,6,33,44
44,43,22,33,4,16,45,28,46,7
4,43,44,22,41,33,7,45,55,56
5,21,62,56,55,65,15,57,64,40
59,34,29,24,32,31,3,28,58,25
16,14,26,18,25,8,29,32,24,58
7,65,55,56,62,5,29,1,15,24
54,35,48,12,51,65,55,56,11,46
16,14,26,19,27,18,8,25,58,3
8,25,18,26,24,32,14,31,3,15
36,23,17,35,48,65,7,41,22,43
56,55,12,35,1,15,65,48,54,22
11,40,20,7,30,21,16,17,23,5
26,31,14,19,24,27,41,16,29,28
50,40,31,16,30,49,27,19,62,11
49,50,40,30,5,16,20,7,23,36
16,14,26,18,25,31,27,19,8,41
29,27,32,3,24,50,19,49,28,31
29,24,32,28,3,31,59,34,43,65
16,14,26,18,25,8,23,17,36,33
24,29,15,32,18,25,8,28,3,26
14,31,26,27,16,19,25,8,32,3
61,44,43,45,64,57,34,41,30,65
55,56,12,41,15,1,27,48,35,54
25,8,32,18,59,58,49,24,29,28
55,56,65,11,21,5,62,57,41,64
16,26,14,18,25,8,32,24,29,28
14,26,28,3,59,58,16,31,27,19
49,50,62,35,56,55,43,41,54,48
20,7,11,40,23,21,17,36,1,30
22,4,7,33,65,46,48,23,14,17
49,50,30,58,59,61,64,57,43,44
8,14,34,24,3,26,28,29,25,58
8,25,3,18,28,32,34,31,24,29
59,34,29,24,32,31,28,3,58,43
41,55,56,27,19,16,31,65,57,64
12,4,46,33,41,35,19,48,15,27
65,56,55,30,22,62,21,40,43,44
44,1,30,43,19,15,62,5,41,11
32,26,25,18,3,8,28,24,14,59
14,26,12,18,25,8,23,36,17,15
27,3,19,29,28,24,32,31,58,59
59,58,28,32,25,8,3,18,7,61
40,20,7,21,36,17,23,11,5,51
31,3,32,28,24,34,29,58,59,54
65,43,56,55,33,4,46,11,44,22
26,19,31,27,14,21,16,62,40,11
65,48,35,41,54,51,11,45,49,50
65,55,56,17,11,36,23,15,7,21
41,43,65,56,55,44,7,23,11,5
15,17,23,21,36,33,2,10,46,4
19,27,29,24,32,3,28,31,58,59
49,41,50,56,55,62,65,35,48,1
8,3,28,32,18,49,31,34,25,58
27,29,19,32,24,3,28,31,59,58
26,59,58,3,28,32,8,14,25,18
35,41,48,44,45,54,11,43,7,1
28,31,32,24,34,29,59,3,58,25
24,31,29,32,58,28,34,3,59,50
19,27,3,25,8,18,16,28,26,31
5,11,7,16,20,36,17,23,40,14
41,43,44,15,1,19,27,45,11,20
46,10,48,35,2,65,33,12,47,4
24,29,32,25,8,3,28,27,18,19
27,19,16,31,41,14,26,32,3,34
6,46,51,54,48,13,33,9,37,4
41,65,1,19,54,44,27,43,24,29
65,44,43,55,56,51,45,5,21,50
49,50,65,56,55,44,45,30,57,43
58,34,59,24,32,29,28,3,25,8
26,14,27,8,25,18,19,3,31,28
65,41,56,55,15,51,54,23,36,17
19,27,16,15,7,11,23,36,17,20
14,16,20,7,17,36,11,21,26,23
41,16,19,27,14,26,31,25,8,18
29,24,34,59,32,3,28,31,50,49
46,65,10,2,12,47,4,33,55,56
40,30,62,11,35,20,50,49,48,21
15,24,29,18,14,25,26,3,8,32
6,56,55,21,62,40,30,58,50,49
29,32,3,24,27,28,19,31,58,59
29,24,59,58,34,28,25,32,3,8
50,49,30,20,5,40,62,51,21,11
20,11,7,17,23,36,21,5,40,30
59,29,24,58,34,32,28,3,31,8
27,19,16,41,31,14,26,56,55,43
58,59,28,32,3,8,25,18,51,7
21,20,36,17,23,14,7,16,26,40
21,23,36,17,45,56,55,62,5,7
44,35,43,45,48,62,54,30,50,49
31,3,14,26,58,16,28,8,25,18
59,29,24,34,32,31,28,3,58,27
8,26,59,58,28,3,14,32,25,18
12,44,46,1,7,43,22,33,4,41
14,34,3,24,26,8,58,28,29,32
16,7,5,11,36,17,23,20,21,40
59,11,51,20,21,40,54,30,19,8
59,58,7,11,36,23,20,17,34,5
25,8,18,26,14,15,16,24,29,32
