NONE,UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,MICVIF,LS,MCFS,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
0.9970845481049563,0.7900874635568513,0.8717201166180758,0.5276967930029155,0.0029154518950437317,0.0029154518950437317,0.9591836734693877,0.9766763848396501,0.45481049562682213,0.9008746355685131,0.0029154518950437317,0.0029154518950437317,0.8396501457725948,0.9795918367346939,0.0029154518950437317,0.0029154518950437317,0.9008746355685131,0.8833819241982507,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046
0.002824858757062147,0.8983050847457628,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,1.0,0.002824858757062147,0.002824858757062147,0.9717514124293786,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.8681318681318682,0.9010989010989011,0.782967032967033,0.0027472527472527475,0.6098901098901099,0.0027472527472527475,0.3873626373626374,0.0027472527472527475
0.9942857142857143,0.8742857142857143,0.7571428571428571,0.3628571428571429,0.7571428571428571,0.8485714285714285,0.9828571428571429,0.7571428571428571,0.7571428571428571,0.002857142857142857,0.5228571428571429,0.002857142857142857,0.002857142857142857,0.88,0.8657142857142858,0.002857142857142857,0.7685714285714286,0.31142857142857144,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044,0.8169014084507042,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044
0.9641873278236914,0.9807162534435262,0.0027548209366391185,0.0027548209366391185,1.0,0.7878787878787878,0.977961432506887,0.977961432506887,0.8209366391184573,0.859504132231405,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.0027548209366391185,0.39669421487603307,0.8898071625344353,0.7851239669421488,0.9366391184573003,0.899135446685879,0.9221902017291066,0.002881844380403458,0.002881844380403458,0.29394812680115273,0.002881844380403458,0.8242074927953891,0.6887608069164265
0.907563025210084,0.32212885154061627,0.0028011204481792717,0.7535014005602241,0.0028011204481792717,0.7619047619047619,0.9523809523809523,0.8151260504201681,0.8011204481792717,0.9467787114845938,0.0028011204481792717,0.0028011204481792717,0.834733893557423,0.9551820728291317,0.44537815126050423,0.8011204481792717,0.8095238095238095,0.8179271708683473,0.9035087719298246,0.0029239766081871343,0.0029239766081871343,0.804093567251462,0.9678362573099415,0.6023391812865497,0.827485380116959,0.8333333333333334
0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.8563218390804598,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.002652519893899204,0.9363395225464191,0.7029177718832891,0.32891246684350134,0.002652519893899204,0.002652519893899204,0.8408488063660478,0.7639257294429708
0.0027100271002710027,0.6097560975609756,0.8211382113821138,0.0027100271002710027,0.0027100271002710027,0.8672086720867209,0.0027100271002710027,0.0027100271002710027,0.6883468834688347,0.983739837398374,0.0027100271002710027,0.0027100271002710027,0.37669376693766937,0.0027100271002710027,0.6829268292682927,0.0027100271002710027,0.8563685636856369,0.0027100271002710027,0.907563025210084,0.988795518207283,0.0028011204481792717,0.8487394957983193,0.0028011204481792717,0.8683473389355743,0.0028011204481792717,0.4341736694677871
0.0028011204481792717,0.0028011204481792717,1.0,0.0028011204481792717,1.0,0.9467787114845938,0.0028011204481792717,0.0028011204481792717,0.927170868347339,0.8795518207282913,0.6974789915966386,0.6974789915966386,0.957983193277311,0.0028011204481792717,0.0028011204481792717,0.927170868347339,1.0,0.0028011204481792717,0.8670520231213873,0.9971098265895953,0.002890173410404624,0.9075144508670521,0.002890173410404624,0.002890173410404624,0.9710982658959537,0.002890173410404624
0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.912568306010929,0.8442622950819673,0.00273224043715847,0.00273224043715847,0.5081967213114754,0.5081967213114754,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.7841530054644809,0.8907103825136612,0.0027247956403269754,0.0027247956403269754,0.5504087193460491,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754
0.6676056338028169,0.0028169014084507044,0.8845070422535212,0.9070422535211268,0.8366197183098592,0.8929577464788733,1.0,0.8760563380281691,0.6225352112676056,0.8028169014084507,0.011267605633802818,0.028169014084507043,0.8873239436619719,0.9859154929577465,1.0,0.856338028169014,0.8,0.0028169014084507044,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,1.0
1.0,1.0,0.9637883008356546,0.7158774373259053,1.0,0.9610027855153204,0.002785515320334262,0.002785515320334262,0.7047353760445683,0.8690807799442897,0.002785515320334262,0.016713091922005572,0.002785515320334262,0.002785515320334262,0.8105849582172702,0.9832869080779945,0.002785515320334262,0.9637883008356546,0.9185393258426966,0.9410112359550562,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.901685393258427,0.9269662921348315,0.8707865168539326
1.0,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.9860335195530726,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.002793296089385475,0.7067039106145251,0.9385474860335196,0.002793296089385475,0.002793296089385475,1.0,0.002793296089385475,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437
0.0028328611898017,0.6770538243626062,0.7875354107648725,0.0028328611898017,1.0,1.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.5892351274787535,0.5892351274787535,0.6742209631728046,0.0028328611898017,0.7847025495750708,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.8497109826589595,0.002890173410404624,0.002890173410404624,0.8294797687861272,0.002890173410404624,0.002890173410404624,0.002890173410404624,0.8526011560693642
0.0027624309392265192,0.7762430939226519,0.0027624309392265192,0.6546961325966851,0.0027624309392265192,0.8204419889502762,0.0027624309392265192,0.8646408839779005,0.8314917127071824,0.0027624309392265192,0.36187845303867405,0.008287292817679558,0.0027624309392265192,0.0027624309392265192,0.0027624309392265192,0.7790055248618785,0.0027624309392265192,0.8867403314917127,0.8771428571428571,0.8142857142857143,0.002857142857142857,0.9085714285714286,0.9,0.7857142857142857,0.002857142857142857,0.4257142857142857
0.0028328611898017,0.9263456090651558,1.0,0.18980169971671387,0.39943342776203966,0.9660056657223796,0.0028328611898017,0.0028328611898017,0.0028328611898017,1.0,0.0028328611898017,0.0028328611898017,1.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.3059490084985836,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465
0.9484240687679083,0.0028653295128939827,1.0,0.9684813753581661,1.0,0.8624641833810889,0.0028653295128939827,0.8796561604584527,0.9398280802292264,0.0028653295128939827,0.670487106017192,0.014326647564469915,1.0,0.9369627507163324,0.839541547277937,0.9742120343839542,0.8595988538681948,0.7593123209169055,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063,0.0026595744680851063
0.3597733711048159,0.0028328611898017,1.0,0.7365439093484419,0.7903682719546742,0.8583569405099151,0.8413597733711048,0.0453257790368272,0.9490084985835694,0.8158640226628895,0.5835694050991501,0.0028328611898017,0.7790368271954674,0.9546742209631728,0.7025495750708215,0.8186968838526912,0.7620396600566572,0.9348441926345609,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.6011396011396012,0.002849002849002849,0.36752136752136755
0.0028011204481792717,0.0028011204481792717,0.9131652661064426,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.9439775910364145,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.3137254901960784,0.0028011204481792717,0.0028011204481792717,0.9327731092436975,0.9047619047619048,0.0028011204481792717,0.0028011204481792717,0.002881844380403458,0.002881844380403458,0.002881844380403458,0.8933717579250721,0.002881844380403458,0.9135446685878963,0.7665706051873199,0.002881844380403458
0.002702702702702703,0.8729729729729729,0.002702702702702703,1.0,0.002702702702702703,0.9027027027027027,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.981081081081081,0.4027027027027027,0.002702702702702703,0.6351351351351351,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.907103825136612,0.6967213114754098,0.00273224043715847,0.9781420765027322,0.9398907103825137,0.860655737704918,0.00273224043715847,0.9153005464480874
0.5669515669515669,0.8888888888888888,1.0,0.8490028490028491,1.0,0.8945868945868946,0.9230769230769231,0.8575498575498576,0.9715099715099715,1.0,0.9088319088319088,0.9088319088319088,0.9515669515669516,0.7264957264957265,0.9629629629629629,0.9259259259259259,0.8603988603988604,0.7037037037037037,0.8794520547945206,0.9232876712328767,0.8657534246575342,0.7890410958904109,0.4465753424657534,0.0027397260273972603,0.7890410958904109,0.0027397260273972603
0.00273224043715847,0.644808743169399,0.825136612021858,0.855191256830601,1.0,0.00273224043715847,0.00273224043715847,0.9644808743169399,0.7650273224043715,0.00273224043715847,1.0,0.6311475409836066,0.5710382513661202,0.00273224043715847,0.7431693989071039,0.9153005464480874,0.825136612021858,0.00273224043715847,0.9642857142857143,0.0027472527472527475,0.5934065934065934,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475
0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.002777777777777778,1.0,0.002777777777777778,0.002777777777777778,0.9861111111111112,0.002777777777777778,0.002777777777777778,0.7722222222222223,0.9277777777777778,0.002777777777777778,0.4083333333333333,0.002777777777777778,0.002777777777777778,0.002702702702702703,0.002702702702702703,0.5405405405405406,0.002702702702702703,0.7567567567567568,0.002702702702702703,0.972972972972973,0.8972972972972973
0.5628415300546448,0.9371584699453552,1.0,0.994535519125683,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.8487394957983193,0.9495798319327731,0.0028011204481792717,0.9523809523809523,0.0028011204481792717
0.0027247956403269754,0.9836512261580381,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.0027247956403269754,0.9918256130790191,0.7656675749318801,0.0027247956403269754,0.0027247956403269754,0.010899182561307902,0.913946587537092,0.9643916913946587,0.8041543026706232,0.002967359050445104,0.9762611275964391,0.8724035608308606,0.9554896142433235,0.9614243323442137
1.0,0.0027472527472527475,0.0027472527472527475,0.9478021978021978,0.0027472527472527475,0.7115384615384616,0.9972527472527473,0.7884615384615384,0.0027472527472527475,0.9423076923076923,0.13186813186813187,0.18681318681318682,0.8351648351648352,0.9697802197802198,0.7115384615384616,0.0027472527472527475,0.0027472527472527475,0.804945054945055,0.9147727272727273,0.002840909090909091,0.9232954545454546,0.9403409090909091,0.002840909090909091,0.8011363636363636,0.002840909090909091,0.002840909090909091
0.9889807162534435,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,1.0,0.8126721763085399,0.9035812672176309,0.0027548209366391185,0.0027548209366391185,0.9889807162534435,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.8945945945945946,0.6621621621621622,0.6918918918918919,0.8864864864864865,0.002702702702702703,0.6864864864864865,1.0,0.9756756756756757
0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,1.0,0.0028089887640449437,0.0028089887640449437,0.699438202247191,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.5365168539325843,0.0028089887640449437,0.0028089887640449437,0.9325842696629213,0.0028089887640449437,0.0028089887640449437,0.0028089887640449437,0.9782016348773842,1.0,0.0027247956403269754,0.8501362397820164,0.0027247956403269754,0.0027247956403269754,0.9400544959128065,0.0027247956403269754
