62,57,32,17,64,11,61,65,2,24
17,36,23,62,7,5,8,15,18,25
17,55,56,62,7,59,5,15,41,8
62,56,17,36,20,11,14,16,5,21
17,36,23,25,62,11,20,43,16,14
57,64,17,36,62,7,20,5,55,56
57,62,64,17,56,55,59,1,58,61
62,17,23,36,11,21,41,1,20,5
56,23,36,17,62,7,20,8,18,25
17,36,62,32,2,10,46,13,9,53
62,57,64,17,7,20,18,8,15,5
23,32,17,36,14,26,29,31,34,25
57,64,17,36,61,56,55,58,59,41
32,57,17,64,24,29,34,2,10,28
17,64,57,62,56,55,23,14,36,43
9,13,32,36,37,62,43,49,14,17
57,62,36,64,56,55,15,20,17,14
62,17,36,32,43,7,20,11,15,14
56,62,57,64,55,61,58,59,47,41
57,17,36,64,62,23,41,14,43,56
62,36,17,32,8,18,25,7,26,14
57,36,32,23,64,55,56,61,58,59
17,32,36,62,24,29,34,7,28,3
64,32,36,62,57,56,55,61,58,59
62,17,32,55,56,64,57,58,61,41
23,17,36,32,62,7,20,49,8,18
57,36,23,17,62,14,26,15,27,31
57,32,36,62,29,24,34,28,31,14
55,32,57,64,24,34,29,2,28,46
57,36,17,56,55,62,64,23,14,41
62,36,57,64,55,56,7,59,15,20
62,32,57,64,56,55,29,24,34,43
17,23,32,36,20,62,11,21,5,1
32,36,56,55,62,41,34,19,27,57
17,55,56,62,36,11,14,15,20,7
62,57,64,32,55,56,59,58,41,40
62,32,23,56,55,34,29,14,17,36
36,62,64,57,55,56,15,8,18,25
32,36,55,56,24,29,34,2,4,37
17,56,55,62,7,43,15,26,5,41
57,64,36,17,56,55,59,43,20,14
62,17,36,32,5,7,15,14,3,29
17,23,36,62,11,20,5,1,15,30
17,23,56,62,11,5,20,1,30,15
62,23,32,17,36,14,15,26,18,25
17,55,32,56,15,43,14,20,7,36
32,36,17,62,15,18,3,25,8,14
55,23,36,17,62,14,56,26,20,15
36,56,55,32,24,62,34,29,46,2
62,17,36,57,15,14,23,5,26,3
62,17,57,64,56,55,14,36,23,15
17,32,36,23,4,2,29,22,24,10
32,36,57,64,24,29,7,34,28,8
17,23,62,36,11,20,1,21,5,41
62,55,56,23,43,1,8,18,25,36
56,17,55,32,62,49,41,58,23,43
32,23,36,17,34,29,24,2,10,4
32,36,17,56,62,55,23,14,26,27
32,64,36,62,57,55,56,29,24,34
36,17,32,62,23,14,34,29,24,31
17,36,62,32,11,29,24,4,2,22
56,55,17,32,41,1,5,20,15,21
32,17,57,64,62,23,36,14,56,55
62,32,36,64,11,14,17,5,23,15
36,55,17,32,56,62,11,43,59,41
36,62,64,32,57,23,17,14,27,26
17,32,36,62,23,14,21,26,34,27
62,17,57,32,29,24,7,34,28,8
57,17,32,55,64,56,61,59,58,41
17,64,57,32,24,29,34,1,4,28
55,17,36,23,62,56,41,14,26,43
62,23,55,56,57,64,58,59,61,41
32,17,55,62,7,8,18,25,29,3
36,64,57,62,20,7,8,55,56,18
32,64,57,17,56,55,49,62,23,34
57,17,32,62,64,34,29,24,36,14
32,17,36,57,62,23,14,49,64,26
18,25,32,57,64,56,55,61,58,59
32,57,36,62,64,34,24,29,28,19
17,32,56,55,7,15,14,43,36,23
17,36,23,57,62,14,26,43,15,3
55,56,57,62,64,59,58,41,21,43
32,62,36,55,56,24,29,34,2,10
36,57,23,62,11,20,64,21,1,5
55,23,56,62,14,17,36,15,26,43
17,36,57,23,62,64,43,21,1,11
56,32,36,57,55,62,41,59,58,43
17,36,32,23,24,34,29,2,11,10
57,32,17,64,62,43,55,56,41,24
23,17,32,36,14,21,15,31,26,27
55,56,62,17,23,36,14,15,2,10
17,32,57,64,24,29,8,18,25,28
32,55,17,62,56,34,29,24,14,36
32,36,55,56,62,31,19,34,27,23
62,32,17,36,7,15,18,8,25,3
32,36,23,17,62,20,11,43,15,14
32,55,56,23,62,41,36,31,43,11
64,57,17,36,56,55,14,26,23,5
17,36,32,62,11,43,15,2,23,14
17,32,62,36,11,8,25,29,24,23
