6,26,51,14,54,12,36,22,30,53
6,51,37,54,12,38,22,30,5,47
6,51,54,12,53,38,33,30,7,49
6,26,36,51,53,12,54,30,13,38
6,51,30,53,54,59,12,49,9,5
51,6,54,30,12,2,53,38,13,22
51,6,54,30,12,53,36,5,26,33
6,51,40,54,50,12,30,36,53,22
6,51,30,12,54,53,35,38,33,5
54,6,51,12,33,59,53,30,35,38
6,53,30,51,12,38,5,54,13,4
60,38,47,44,30,65,23,39,35,45
6,51,54,30,53,12,26,38,36,22
51,6,54,30,12,22,5,37,38,53
51,54,40,6,53,38,21,50,12,7
6,51,54,12,53,30,35,5,23,15
51,6,54,53,30,13,12,22,26,38
30,6,51,5,42,38,54,39,48,61
51,6,54,22,2,30,12,38,26,36
6,51,53,12,26,14,30,54,33,38
51,54,6,53,12,30,26,5,38,11
6,50,53,51,30,12,54,22,38,5
6,51,40,30,12,54,22,53,38,5
6,51,30,53,59,54,12,38,22,5
51,54,6,53,59,12,38,30,46,5
6,51,54,53,12,36,26,30,38,22
6,51,54,30,49,53,12,38,5,2
6,51,54,53,12,38,22,36,30,5
6,51,54,26,53,30,36,12,38,22
6,51,54,53,12,30,38,22,13,35
51,54,6,53,38,12,30,49,13,7
51,54,6,53,12,30,36,33,26,5
51,6,54,30,26,53,36,12,2,38
6,51,30,50,54,53,12,2,38,22
51,54,6,53,50,9,12,30,38,4
51,54,6,53,12,30,38,50,36,7
51,54,6,36,53,26,12,30,22,38
51,54,6,30,22,2,12,38,5,53
51,6,54,30,53,12,38,50,26,22
6,51,12,30,53,38,33,54,5,7
6,51,54,12,53,30,38,22,36,26
6,51,54,12,30,22,53,38,5,36
6,30,51,12,53,54,35,5,38,16
6,49,51,59,26,30,12,53,54,36
6,51,54,59,12,30,22,26,36,38
6,51,54,12,53,4,9,33,38,7
61,53,33,64,57,51,38,12,37,54
63,38,65,48,44,61,60,42,30,46
51,54,6,53,36,30,12,38,5,26
54,50,51,35,12,49,45,60,48,65
51,54,6,22,12,2,30,47,38,36
6,51,40,30,54,49,53,44,38,61
51,54,6,53,30,5,38,7,49,16
51,54,6,53,30,40,12,38,49,23
51,6,54,26,36,53,40,12,5,30
51,6,54,53,30,12,38,5,2,50
6,51,54,50,30,53,12,2,22,5
6,51,53,12,30,54,26,36,35,33
6,51,30,12,53,54,49,36,5,26
51,54,6,12,22,30,53,38,35,36
54,6,51,12,30,53,38,36,26,22
30,51,54,39,6,5,42,48,16,61
6,51,26,36,12,54,30,53,22,38
6,30,53,12,51,13,54,50,38,5
6,51,54,12,22,37,30,38,5,40
51,54,6,53,30,12,38,49,50,5
6,51,30,54,12,22,36,26,53,5
51,6,54,53,30,38,13,2,5,22
6,51,53,59,54,26,30,36,12,13
51,6,54,30,53,2,12,47,22,13
51,54,6,53,50,12,30,47,35,38
51,54,6,30,53,12,5,38,33,60
54,59,51,58,6,37,56,55,13,9
6,51,40,30,54,53,12,33,38,7
51,6,53,54,30,40,9,12,2,38
51,54,53,6,12,46,30,38,63,65
6,51,30,12,53,54,36,50,5,26
6,51,54,22,12,30,53,38,5,23
51,54,6,53,38,9,7,36,39,16
51,6,54,53,38,12,30,33,13,2
51,6,54,50,53,38,12,7,22,30
6,51,30,54,12,26,36,53,5,35
51,54,6,40,53,59,12,13,30,22
51,54,6,12,22,38,30,59,46,5
54,6,53,12,59,38,30,51,46,22
51,54,30,6,5,12,38,53,7,21
6,51,26,12,22,14,54,30,53,38
6,51,30,54,12,59,22,53,38,35
51,6,54,30,53,12,5,2,50,22
51,6,54,53,12,30,50,38,2,49
30,38,6,5,48,42,15,39,61,51
51,54,6,53,40,38,22,50,49,12
51,6,54,36,26,30,53,12,50,38
51,6,54,12,30,22,37,38,5,53
6,51,53,12,30,54,22,36,13,38
51,6,54,59,22,12,38,2,30,53
51,54,6,53,22,50,38,36,30,47
6,51,54,50,36,26,22,12,30,38
6,51,26,17,50,54,53,30,22,2
51,6,54,26,30,53,12,14,33,38
