7,40,50,59,58,49,11,43,4,46
49,33,50,22,4,46,11,58,59,7
1,62,18,5,27,36,21,16,26,8
60,52,38,61,42,53,39,6,9,13
61,64,42,52,38,60,57,39,6,47
60,42,38,6,39,61,47,52,53,9
51,54,40,16,35,48,45,30,5,44
60,38,42,39,61,6,52,47,53,13
60,39,6,42,9,37,13,47,53,38
53,9,52,37,13,47,6,38,39,60
11,21,58,59,5,62,49,50,7,43
11,49,7,22,58,4,59,5,46,62
60,38,61,64,39,57,55,56,52,6
60,44,61,6,9,47,52,13,38,53
60,61,38,39,6,52,42,47,53,13
46,30,22,4,12,41,21,15,51,40
61,60,38,42,39,6,52,47,9,53
48,51,60,42,35,6,13,53,38,54
60,61,42,51,38,39,47,6,13,9
7,49,11,50,59,4,22,58,46,51
60,42,38,39,61,52,6,47,53,9
10,2,12,54,51,30,48,35,45,40
37,53,60,52,9,13,38,39,47,6
7,22,4,46,58,59,11,49,51,48
60,61,39,38,6,52,47,53,42,9
6,60,47,61,39,9,37,13,53,52
59,44,40,58,63,30,43,62,45,54
61,60,38,42,39,52,6,47,53,9
11,7,22,4,46,58,59,49,50,43
58,11,53,6,37,59,60,52,47,9
60,61,38,39,52,6,42,46,4,22
60,38,42,39,61,52,6,53,13,9
12,15,58,63,65,59,3,34,24,50
61,52,38,60,6,53,39,42,9,37
60,61,42,6,39,38,47,9,53,13
47,6,39,13,9,60,42,37,38,53
62,49,50,11,59,58,46,7,22,4
53,47,9,52,60,37,13,38,6,39
60,38,61,39,6,52,42,47,53,33
60,42,6,9,47,53,13,61,52,38
60,38,42,39,6,61,47,52,53,13
60,38,52,53,42,37,9,6,13,47
61,60,39,38,42,6,47,46,52,33
58,11,50,62,49,59,5,7,4,43
11,4,22,7,59,46,58,50,49,45
12,43,5,30,21,44,40,45,48,51
54,49,62,5,50,40,43,44,45,21
60,61,39,38,6,64,52,47,57,42
60,51,61,38,42,39,47,6,13,52
39,60,52,53,47,42,44,6,13,37
61,42,60,39,38,52,6,53,64,47
50,11,5,49,62,58,7,21,59,4
63,22,33,15,46,4,16,43,65,5
40,30,58,11,59,7,4,22,46,12
59,58,49,50,55,56,62,5,21,43
60,42,39,61,38,6,47,9,13,53
39,60,42,6,47,9,13,37,38,61
60,38,42,52,6,53,51,9,37,13
60,39,42,61,38,6,47,64,52,57
49,22,50,4,33,46,7,11,20,58
55,56,65,57,64,46,31,63,41,15
41,16,15,3,11,31,35,48,28,18
60,61,42,38,39,6,52,47,53,13
61,60,38,42,39,47,51,6,13,52
60,39,42,61,53,38,47,6,13,52
60,6,61,39,47,9,13,53,42,37
61,57,64,60,55,5,63,56,53,38
60,48,61,39,51,6,47,13,9,53
57,64,55,56,63,65,46,33,4,22
46,30,12,22,4,7,59,58,41,33
6,61,60,47,39,9,37,13,53,42
61,60,42,38,39,47,6,13,52,53
27,19,41,31,32,65,63,34,29,8
52,63,37,6,42,47,13,38,60,53
60,39,61,6,38,47,42,52,53,13
20,58,30,7,59,4,22,46,15,33
40,50,49,5,21,43,62,30,16,20
61,39,53,6,37,52,42,60,9,38
4,22,15,41,30,33,46,36,44,14
54,35,51,48,58,11,45,59,46,4
37,52,60,53,44,9,47,39,6,13
39,38,60,6,52,47,53,9,42,13
55,56,21,12,57,64,20,38,61,60
56,55,59,58,41,4,46,22,63,27
58,11,22,4,59,50,49,46,7,20
12,46,44,30,22,15,4,58,59,41
62,54,11,50,49,59,58,7,43,5
56,55,57,64,17,23,14,36,63,19
60,38,61,42,6,39,52,9,37,53
60,61,38,64,57,63,42,39,52,53
19,29,34,32,31,27,15,13,42,9
58,12,59,11,30,54,46,4,22,40
60,61,39,6,38,47,42,52,9,53
54,30,45,44,15,40,65,19,27,51
9,53,37,47,6,52,39,38,42,60
39,42,47,13,6,9,60,37,61,38
62,5,43,50,49,22,33,4,35,54
60,38,61,39,52,6,47,42,53,9
63,64,57,15,12,55,56,65,50,49
36,20,21,62,43,5,11,16,12,49
